ID,Stadtname,Einwohner,PositionSued,PositionOst,Spieler,SpielerURL,Klan,KlanURL,Holz,Eisen,Sake,Nahrung,Performance
1332,Wakangoka,160,204,118, Felix,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=5301,Uechi Ryu,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=679,95%,100%,55%,85%,335%
1514,Takonkuri,26,161,176,,,,,120%,160%,50%,75%,405%
108,Miyamishu,26,185,162,,,,,150%,85%,65%,100%,400%
1937,Hyoasari,24,5,228,,,,,100%,50%,50%,100%,300%
700,Adislagdsan,1.954,146,185, Shiwan Khan,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7504,Die Goldene Horde,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=747,100%,130%,100%,125%,455%
393,Oitazima,31,255,49,,,,,70%,130%,75%,100%,375%
582,Hoaku,1.105,89,234, Dschingis Khan,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7518,Die Goldene Horde,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=747,120%,70%,130%,125%,445%
269,Hopp droemmer,1.105,209,56, Ragnar Lothbrok,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7675,Besokende,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=815,105%,130%,80%,100%,415%
1603,CIwakenra,1.105,200,124, Roronoa Rikimaru,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=6540,Kamakura,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=770,100%,190%,55%,80%,425%
1650,KONOE SHIDAN,1.105,46,233, Sun Wukong,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7683,Konoe Shidan,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=812,135%,65%,85%,110%,395%
1940,Chiobeshu,1.105,203,157, Kakei Juzo,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7514,Iga Sokoku Ikki,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=734,135%,110%,70%,100%,415%
329,Wakasai,26,262,36,,,,,120%,130%,80%,85%,415%
1113,Utsate,27,220,133,,,,,50%,200%,60%,80%,390%
905,Uwayayama,1.056,204,124, Kontaro,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7457,Kage no Takeda,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=788,120%,205%,70%,75%,470%
487,Matsuoto,25,213,62,,,,,120%,80%,85%,105%,390%
734,Tsuigaro,26,15,255,,,,,95%,90%,65%,120%,370%
1607,Kitarioka,1.105,38,236, Jorge Alvares,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7656,Daibutsu,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=817,95%,130%,60%,115%,400%
354,Dragonstone,1.105,202,96, Tyladrhas,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7693,Portugiesische Handelsmission,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=804,75%,145%,65%,130%,415%
418,Sagosaoka,27,187,173,,,,,220%,90%,50%,85%,445%
1083,Ibaobeo,1.025,213,161, Shansi Dori,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=5205,Kage no Takeda,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=788,90%,210%,70%,85%,455%
1448,Kloster Bujinko,3.000,158,202, Shimozuma Nakayuki,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7659,Tsugekitai Yamato,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=664,125%,140%,80%,120%,465%
1278,Sapugoido,26,36,282,,,,,105%,60%,85%,105%,355%
362,Utsapowa,25,245,66,,,,,145%,55%,85%,110%,395%
1891,Shiobewa,25,227,40,,,,,170%,65%,55%,90%,380%
649,Takushari,1.105,133,229, Misaki_Kuroiryu,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7393,Tsugekitai Yamato,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=664,100%,100%,100%,100%,400%
547,Hirameta,24,32,266,,,,,155%,70%,50%,90%,365%
1439,Ibamima,25,115,239,,,,,130%,75%,65%,90%,360%
1397,Takengohama,25,228,134,,,,,95%,170%,55%,75%,395%
1116,Fuigatsu,26,19,252,,,,,150%,65%,95%,115%,425%
1567,Takonkyaro,25,204,206,,,,,110%,70%,110%,115%,405%
690,Fukuazoyama,1.021,203,147, Jimmu,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=5747,Ochiru no Sakura,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=517,125%,140%,90%,90%,445%
1734,Homaoka,158,208,184, Shimazu Kuniko,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7743,,,140%,105%,70%,100%,415%
2045,Sukhbataar,1.355,80,238, Sübügätäi,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7534,Die Goldene Horde,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=747,125%,65%,80%,110%,380%
1689,Tsuagai,1.105,190,196, Jorge Alvares,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7656,Daibutsu,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=817,150%,105%,90%,105%,450%
485,Otazashu,24,34,272,,,,,75%,70%,75%,100%,320%
111,Fukushama,22,68,237,,,,,90%,105%,75%,90%,360%
1527,Yamada,454,193,145, Date Yukimura,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7317,,,100%,100%,100%,100%,400%
1729,Takigaima,26,19,269,,,,,85%,55%,65%,145%,350%
785,Sagagamiya,30,212,102,,,,,120%,190%,50%,75%,435%
2042,Akonyaoka,24,252,64,,,,,100%,100%,80%,105%,385%
1015,Niiaga,24,16,266,,,,,75%,55%,75%,140%,345%
2161,Siedlung,0,21,249,,,,,150%,115%,80%,90%,435%
1088,Ho Shizuki,1.105,124,223, Kamihattori Happosai,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=2084,Black Ninja,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=5,55%,145%,115%,125%,440%
1308,Utshimuai,1.105,169,171, Jumbrunja,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=5835,Shinsengumi-kai,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=777,75%,85%,80%,145%,385%
1468,Ullazeki,1.105,202,122, Kontaro,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7457,Kage no Takeda,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=788,120%,195%,55%,80%,450%
593,Koshia,2.775,244,68, Lo Pan,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7658,KUROFUNE,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=807,100%,100%,100%,100%,400%
460,Okoshiata,24,154,185,,,,,95%,85%,65%,90%,335%
2100,Asariro,24,101,238,,,,,50%,70%,75%,130%,325%
1914,Shoshara,24,206,155,,,,,125%,120%,65%,95%,405%
2263,Iwachima,1.105,155,213, Okumichi Shigeru,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=4711,Takama no Hara,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=722,80%,125%,105%,125%,435%
1916,Matsuido,2.775,97,241, Sübügätäi,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7534,Die Goldene Horde,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=747,100%,100%,95%,120%,415%
528,Yokyama,23,70,258,,,,,120%,55%,65%,125%,365%
26,Saioshamiya,26,196,162,,,,,140%,80%,75%,105%,400%
1326,Lotusteich,1.105,67,210, Sun Wukong,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7683,Konoe Shidan,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=812,125%,110%,65%,105%,405%
1860,Asashikai,28,286,55,,,,,105%,100%,60%,105%,370%
1375,Shiyau,1.105,212,59, Souru Sushi,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7517,Viva Portugal,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=814,145%,140%,65%,85%,435%
386,Ibaizuya,24,266,37,,,,,115%,105%,90%,100%,410%
823,Fuamiri,24,120,230,,,,,140%,70%,70%,100%,380%
2106,Ibao,24,184,169,,,,,145%,110%,75%,100%,430%
271,Hyoshoku,691,223,114, Iga Hayato,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=4312,Iga Sokoku Ikki,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=734,145%,100%,70%,90%,405%
2119,Toshira,1.105,137,217, Shimozuma Nakayuki,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7659,Tsugekitai Yamato,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=664,125%,50%,80%,140%,395%
653,Asakyura,25,31,254,,,,,120%,100%,90%,95%,405%
1005,Aiazaoto,41,123,237,,,,,170%,60%,80%,95%,405%
1179,Ishamihama,30,235,35,,,,,90%,100%,110%,120%,420%
931,Kanaki,19,283,36,,,,,95%,65%,55%,120%,335%
693,Fukuate,3.000,28,260, Chuluun,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7533,Die Goldene Horde,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=747,180%,70%,100%,105%,455%
203,Hirokyatsu,133,154,216, Kobayakawa Hidetada,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7705,,,100%,100%,100%,100%,400%
414,Shimao,1.105,87,235, Altan Khan,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7481,Die Goldene Horde,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=747,175%,100%,65%,90%,430%
535,Chiushiro,1.105,199,182, Oda Yamata,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=5476,Konoe Shidan,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=812,150%,115%,80%,90%,435%
1820,Fukukyama,1.105,169,183, Momochi Uyeda,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7663,Shinsengumi-kai,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=777,195%,90%,65%,100%,450%
457,Kumiyanohe,1.105,172,151, Francisco de Javier,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7654,Viva Portugal,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=814,100%,95%,70%,130%,395%
2213,Miyoshoka,22,93,249,,,,,75%,50%,65%,155%,345%
1028,Ehikuro,24,246,39,,,,,150%,100%,80%,105%,435%
250,Kangoma,241,230,120,,,,,120%,120%,65%,85%,390%
1459,Hyondushu,25,277,59,,,,,60%,60%,60%,140%,320%
1798,Mizukuri,24,145,176,,,,,130%,55%,70%,135%,390%
1687,Yamigai-Jo,1.421,202,170, Hirox,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=2439,Black Ninja,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=5,120%,170%,70%,90%,450%
834,Okoshido,40,12,260,,,,,100%,50%,65%,155%,370%
887,Kyushikaido,26,242,69,,,,,135%,55%,95%,125%,410%
172,Kumipoyama,35,219,95,,,,,75%,95%,70%,110%,350%
1505,Hameta,29,211,198,,,,,95%,125%,65%,105%,390%
1766,Fuchira,23,214,55,,,,,140%,75%,100%,100%,415%
1581,Akushoku,1.105,182,211, Minamoto Yorimasa,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=5515,Shinsengumi-kai,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=777,125%,90%,85%,120%,420%
1226,Kagakoka,3.000,275,45, El Supremo,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7511,Viva Portugal,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=814,105%,105%,100%,110%,420%
187,Hamesuma,26,21,286,,,,,135%,75%,105%,105%,420%
579,Narnia,1.105,189,161, Hirox,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=2439,Black Ninja,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=5,120%,100%,85%,115%,420%
1142,Hirobeue,1.105,67,214, Goldener Sperling,http://schlacht-um-kyoto.de/index.php?page=Optionen&Spielerprofil=7685,Konoe Shidan,http://schlacht-um-kyoto.de/index.php?page=Optionen&Klanprofil=812,105%,55%,100%,125%,385%
278,Togoka,25,250,72,,,,,95%,115%,100%,120%,430%
